panel,index,x,y,s
upper,0,0.18,0.0245401502,0
upper,1,0.179670274,0.0246054877,0.00033613678
upper,2,0.17906827,0.0247241541,0.000949725345
upper,3,0.178466156,0.0248422159,0.0015633053
upper,4,0.177863932,0.0249596722,0.00217687676
upper,5,0.177261598,0.0250765219,0.00279043985
upper,6,0.176659155,0.0251927637,0.00340399468
upper,7,0.176056603,0.0253083966,0.00401754136
upper,8,0.175453943,0.0254234194,0.00463108
upper,9,0.174851174,0.0255378308,0.00524461073
upper,10,0.174248298,0.0256516299,0.00585813366
upper,11,0.173645314,0.0257648152,0.00647164888
upper,12,0.173042222,0.0258773857,0.00708515653
upper,13,0.172439023,0.0259893402,0.00769865671
upper,14,0.171835718,0.0261006772,0.00831214952
upper,15,0.171232306,0.0262113958,0.00892563508
upper,16,0.170628788,0.0263214945,0.0095391135
upper,17,0.170025164,0.0264309721,0.0101525849
upper,18,0.169421435,0.0265398274,0.0107660494
upper,19,0.1688176,0.0266480589,0.011379507
upper,20,0.168213661,0.0267556655,0.0119929579
upper,21,0.167609617,0.0268626458,0.0126064023
upper,22,0.167005468,0.0269689985,0.0132198401
upper,23,0.166401216,0.0270747221,0.0138332715
upper,24,0.16579686,0.0271798154,0.0144466967
upper,25,0.165192402,0.027284277,0.0150601156
upper,26,0.16458784,0.0273881055,0.0156735285
upper,27,0.163983175,0.0274912994,0.0162869354
upper,28,0.163378409,0.0275938574,0.0169003365
upper,29,0.16277354,0.0276957781,0.0175137317
upper,30,0.16216857,0.0277970599,0.0181271213
upper,31,0.161563499,0.0278977015,0.0187405053
upper,32,0.160958327,0.0279977013,0.0193538839
upper,33,0.160353054,0.0280970579,0.0199672571
upper,34,0.159747681,0.0281957698,0.020580625
upper,35,0.159142209,0.0282938354,0.0211939878
upper,36,0.158536637,0.0283912533,0.0218073455
upper,37,0.157930966,0.0284880218,0.0224206982
upper,38,0.157325196,0.0285841395,0.0230340461
upper,39,0.156719328,0.0286796047,0.0236473893
upper,40,0.156113362,0.0287744159,0.0242607277
upper,41,0.155507298,0.0288685715,0.0248740616
upper,42,0.154901137,0.0289620698,0.025487391
upper,43,0.154294879,0.0290549092,0.0261007161
upper,44,0.153688525,0.0291470881,0.0267140369
upper,45,0.153082075,0.0292386048,0.0273273535
upper,46,0.152475529,0.0293294576,0.027940666
upper,47,0.151868888,0.0294196449,0.0285539746
upper,48,0.151262151,0.0295091648,0.0291672793
upper,49,0.150655321,0.0295980158,0.0297805802
upper,50,0.150048396,0.029686196,0.0303938774
upper,51,0.149441377,0.0297737036,0.0310071711
upper,52,0.148834265,0.029860537,0.0316204612
upper,53,0.148227061,0.0299466943,0.032233748
upper,54,0.147619763,0.0300321738,0.0328470315
upper,55,0.147012374,0.0301169735,0.0334603118
upper,56,0.146404893,0.0302010916,0.034073589
upper,57,0.145797321,0.0302845264,0.0346868632
upper,58,0.145189658,0.0303672758,0.0353001345
upper,59,0.144581905,0.0304493381,0.035913403
upper,60,0.143974062,0.0305307113,0.0365266688
upper,61,0.143366129,0.0306113935,0.037139932
upper,62,0.142758107,0.0306913827,0.0377531927
upper,63,0.142149997,0.030770677,0.038366451
upper,64,0.141541799,0.0308492744,0.0389797071
upper,65,0.140933512,0.0309271729,0.0395929609
upper,66,0.140325139,0.0310043704,0.0402062126
upper,67,0.139716679,0.031080865,0.0408194623
upper,68,0.139108132,0.0311566546,0.0414327101
upper,69,0.1384995,0.0312317371,0.0420459562
upper,70,0.137890782,0.0313061104,0.0426592005
upper,71,0.13728198,0.0313797724,0.0432724433
upper,72,0.136673093,0.031452721,0.0438856846
upper,73,0.136064122,0.031524954,0.0444989245
upper,74,0.135455067,0.0315964692,0.0451121631
upper,75,0.13484593,0.0316672645,0.0457254006
upper,76,0.13423671,0.0317373377,0.046338637
upper,77,0.133627409,0.0318066864,0.0469518724
upper,78,0.133018026,0.0318753085,0.0475651071
upper,79,0.132408562,0.0319432017,0.048178341
upper,80,0.131799017,0.0320103637,0.0487915742
upper,81,0.131189393,0.0320767922,0.049404807
upper,82,0.13057969,0.0321424847,0.0500180394
upper,83,0.129969907,0.0322074391,0.0506312714
upper,84,0.129360047,0.0322716528,0.0512445034
upper,85,0.128750108,0.0323351236,0.0518577352
upper,86,0.128140093,0.0323978488,0.0524709671
upper,87,0.127530001,0.0324598262,0.0530841993
upper,88,0.126919832,0.0325210532,0.0536974317
upper,89,0.126309589,0.0325815274,0.0543106645
upper,90,0.12569927,0.0326412461,0.0549238979
upper,91,0.125088877,0.032700207,0.055537132
upper,92,0.12447841,0.0327584073,0.0561503669
upper,93,0.12386787,0.0328158445,0.0567636027
upper,94,0.123257258,0.032872516,0.0573768395
upper,95,0.122646573,0.0329284192,0.0579900775
upper,96,0.122035817,0.0329835513,0.0586033169
upper,97,0.121416268,0.0330382706,0.0592252772
upper,98,0.120790784,0.0330920293,0.059853068
upper,99,0.120165166,0.0331444776,0.0604808806
upper,100,0.119539416,0.0331956126,0.0611087158
upper,101,0.118913537,0.0332454314,0.0617365744
upper,102,0.11828753,0.0332939309,0.0623644572
upper,103,0.117661397,0.0333411081,0.062992365
upper,104,0.11703514,0.03338696,0.0636202987
upper,105,0.11640876,0.0334314836,0.064248259
upper,106,0.115782259,0.0334746757,0.0648762468
upper,107,0.11515564,0.0335165332,0.0655042628
upper,108,0.114528903,0.033557053,0.0661323078
upper,109,0.113902052,0.033596232,0.0667603827
upper,110,0.113275087,0.0336340669,0.0673884883
upper,111,0.11264801,0.0336705545,0.0680166253
upper,112,0.112020824,0.0337056916,0.0686447946
upper,113,0.111393531,0.033739475,0.0692729969
upper,114,0.110766132,0.0337719012,0.0699012331
upper,115,0.11013863,0.0338029671,0.070529504
upper,116,0.109511026,0.0338326692,0.0711578104
upper,117,0.108883322,0.0338610041,0.0717861531
upper,118,0.108255521,0.0338879685,0.0724145329
upper,119,0.107627625,0.0339135589,0.0730429506
upper,120,0.106999635,0.0339377718,0.073671407
upper,121,0.106371554,0.0339606038,0.0742999029
upper,122,0.105743384,0.0339820512,0.0749284392
upper,123,0.105115127,0.0340021106,0.0755570166
upper,124,0.104486785,0.0340207783,0.076185636
upper,125,0.10385836,0.0340380506,0.0768142981
upper,126,0.103229854,0.034053924,0.0774430039
upper,127,0.102601271,0.0340683947,0.078071754
upper,128,0.101972611,0.034081459,0.0787005494
upper,129,0.101343878,0.034093113,0.0793293908
upper,130,0.100715073,0.0341033531,0.0799582791
upper,131,0.100086199,0.0341121753,0.0805872151
upper,132,0.0994572577,0.0341195758,0.0812161997
upper,133,0.0988282522,0.0341255506,0.0818452335
upper,134,0.0981991845,0.0341300957,0.0824743176
upper,135,0.0975700571,0.0341332073,0.0831034527
upper,136,0.0969408724,0.0341348811,0.0837326396
upper,137,0.0963116328,0.0341351132,0.0843618793
upper,138,0.0956823408,0.0341338994,0.0849911724
upper,139,0.0950529989,0.0341312356,0.08562052
upper,140,0.0944236095,0.0341271174,0.0862499228
upper,141,0.0937941753,0.0341215407,0.0868793817
upper,142,0.0931646988,0.0341145011,0.0875088976
upper,143,0.0925351826,0.0341059944,0.0881384713
upper,144,0.0919056293,0.034096016,0.0887681037
upper,145,0.0912760416,0.0340845615,0.0893977956
upper,146,0.0906464221,0.0340716265,0.0900275479
upper,147,0.0900167735,0.0340572064,0.0906573616
upper,148,0.0893870986,0.0340412965,0.0912872374
upper,149,0.0887574002,0.0340238922,0.0919171764
upper,150,0.0881276809,0.0340049888,0.0925471793
upper,151,0.0874979436,0.0339845815,0.0931772472
upper,152,0.0868681912,0.0339626654,0.0938073808
upper,153,0.0862384266,0.0339392358,0.0944375811
upper,154,0.0856086526,0.0339142876,0.0950678491
upper,155,0.0849788721,0.0338878158,0.0956981857
upper,156,0.0843490882,0.0338598154,0.0963285917
upper,157,0.0837193039,0.0338302812,0.0969590682
upper,158,0.0830895221,0.0337992079,0.0975896161
upper,159,0.0824597459,0.0337665904,0.0982202364
upper,160,0.0818299785,0.0337324233,0.09885093
upper,161,0.0812002229,0.0336967012,0.0994816979
upper,162,0.0805704823,0.0336594185,0.100112541
upper,163,0.07994076,0.0336205698,0.100743461
upper,164,0.0793110592,0.0335801493,0.101374457
upper,165,0.0786813831,0.0335381513,0.102005533
upper,166,0.078051735,0.0334945702,0.102636687
upper,167,0.0774221183,0.0334493998,0.103267922
upper,168,0.0767925365,0.0334026344,0.103899238
upper,169,0.0761629928,0.0333542678,0.104530637
upper,170,0.0755334908,0.033304294,0.10516212
upper,171,0.0749040341,0.0332527065,0.105793687
upper,172,0.074274626,0.0331994992,0.10642534
upper,173,0.0736452704,0.0331446655,0.10705708
upper,174,0.0730159707,0.033088199,0.107688908
upper,175,0.0723867306,0.033030093,0.108320825
upper,176,0.071757554,0.0329703408,0.108952832
upper,177,0.0711284445,0.0329089355,0.109584932
upper,178,0.070499406,0.0328458701,0.110217124
upper,179,0.0698704423,0.0327811376,0.11084941
upper,180,0.0692415575,0.0327147308,0.111481791
upper,181,0.0686127554,0.0326466423,0.112114269
upper,182,0.0679840401,0.0325768647,0.112746844
upper,183,0.0673554156,0.0325053904,0.113379519
upper,184,0.0667268861,0.0324322117,0.114012294
upper,185,0.0660984558,0.0323573207,0.114645171
upper,186,0.0654701289,0.0322807095,0.115278151
upper,187,0.0648419097,0.0322023698,0.115911236
upper,188,0.0642138027,0.0321222935,0.116544427
upper,189,0.0635858121,0.032040472,0.117177725
upper,190,0.0629579425,0.0319568967,0.117811133
upper,191,0.0623301985,0.0318715588,0.118444651
upper,192,0.0617025847,0.0317844494,0.119078281
upper,193,0.0610751057,0.0316955593,0.119712025
upper,194,0.0604477664,0.0316048793,0.120345884
upper,195,0.0598205715,0.0315123997,0.12097986
upper,196,0.059193526,0.0314181109,0.121613955
upper,197,0.0585666349,0.031322003,0.122248171
upper,198,0.0579399031,0.0312240657,0.122882509
upper,199,0.0573133359,0.0311242889,0.123516971
upper,200,0.0566869385,0.0310226618,0.124151558
upper,201,0.0560607162,0.0309191736,0.124786274
upper,202,0.0554346744,0.0308138134,0.12542112
upper,203,0.0548088185,0.0307065697,0.126056098
upper,204,0.0541831543,0.030597431,0.12669121
upper,205,0.0535576873,0.0304863854,0.127326458
upper,206,0.0529324233,0.0303734208,0.127961844
upper,207,0.0523073683,0.0302585247,0.128597371
upper,208,0.0516825283,0.0301416844,0.129233042
upper,209,0.0510579092,0.0300228868,0.129868858
upper,210,0.0504335175,0.0299021185,0.130504821
upper,211,0.0498093593,0.0297793658,0.131140936
upper,212,0.0491854413,0.0296546145,0.131777204
upper,213,0.0485617699,0.0295278501,0.132413627
upper,214,0.0479383519,0.0293990578,0.13305021
upper,215,0.0473151941,0.0292682222,0.133686955
upper,216,0.0466923037,0.0291353277,0.134323864
upper,217,0.0460696876,0.0290003581,0.134960941
upper,218,0.0454473533,0.0288632966,0.13559819
upper,219,0.0448253083,0.0287241263,0.136235613
upper,220,0.04420356,0.0285828295,0.136873215
upper,221,0.0435821164,0.0284393879,0.137510998
upper,222,0.0429609855,0.0282937829,0.138148967
upper,223,0.0423401754,0.0281459952,0.138787125
upper,224,0.0417196946,0.0279960049,0.139425478
upper,225,0.0410995515,0.0278437913,0.140064028
upper,226,0.040479755,0.0276893332,0.140702781
upper,227,0.0398603142,0.0275326086,0.14134174
upper,228,0.0392412383,0.027373595,0.141980912
upper,229,0.0386225367,0.0272122687,0.142620301
upper,230,0.0380042193,0.0270486054,0.143259912
upper,231,0.0373862961,0.02688258,0.14389975
upper,232,0.0367687774,0.0267141664,0.144539822
upper,233,0.0361516738,0.0265433374,0.145180134
upper,234,0.0355349963,0.026370065,0.145820692
upper,235,0.0349187562,0.0261943201,0.146461503
upper,236,0.0343029649,0.0260160722,0.147102573
upper,237,0.0336876346,0.0258352898,0.147743911
upper,238,0.0330727776,0.0256519401,0.148385523
upper,239,0.0324584066,0.025465989,0.149027418
upper,240,0.0318445349,0.0252774008,0.149669605
upper,241,0.0312311762,0.0250861384,0.150312093
upper,242,0.0306183445,0.0248921628,0.15095489
upper,243,0.0300060546,0.0246954337,0.151598009
upper,244,0.0293943216,0.0244959085,0.152241459
upper,245,0.0287831615,0.0242935428,0.152885251
upper,246,0.0281725905,0.0240882903,0.153529398
upper,247,0.0275626258,0.0238801019,0.154173913
upper,248,0.0269532852,0.0236689266,0.154818809
upper,249,0.0263445872,0.0234547105,0.155464101
upper,250,0.0257365512,0.0232373968,0.156109804
upper,251,0.0251291974,0.0230169259,0.156755936
upper,252,0.0245225469,0.0227932349,0.157402514
upper,253,0.023916622,0.0225662572,0.158049556
upper,254,0.0233114459,0.0223359224,0.158697084
upper,255,0.022707043,0.0221021562,0.159345119
upper,256,0.022103439,0.0218648796,0.159993685
upper,257,0.0215006609,0.0216240087,0.160642808
upper,258,0.0208987374,0.0213794543,0.161292514
upper,259,0.0202976985,0.0211311213,0.161942835
upper,260,0.0196975764,0.0208789083,0.162593802
upper,261,0.0190984048,0.0206227069,0.16324545
upper,262,0.0185002199,0.0203624008,0.163897819
upper,263,0.01790306,0.0200978652,0.164550949
upper,264,0.0173069661,0.0198289661,0.165204887
upper,265,0.016711982,0.0195555586,0.165859683
upper,266,0.0161181548,0.0192774863,0.166515392
upper,267,0.0155255351,0.0189945799,0.167172076
upper,268,0.0149341774,0.018706655,0.167829803
upper,269,0.0143441406,0.018413511,0.168488648
upper,270,0.0137554889,0.0181149286,0.169148696
upper,271,0.0131682919,0.0178106669,0.169810039
upper,272,0.0125826257,0.0175004612,0.170472785
upper,273,0.011998574,0.0171840185,0.171137054
upper,274,0.0114162288,0.0168610141,0.17180298
upper,275,0.0108356921,0.0165310855,0.172470719
upper,276,0.0102570772,0.0161938269,0.173140449
upper,277,0.00968051115,0.0158487809,0.173812376
upper,278,0.00910613666,0.0154954291,0.174486738
upper,279,0.00853411563,0.0151331799,0.175163814
upper,280,0.00796463287,0.0147613534,0.175843936
upper,281,0.00739790117,0.0143791615,0.176527497
upper,282,0.00683416779,0.0139856822,0.177214971
upper,283,0.00627372321,0.0135798252,0.177906938
upper,284,0.00571691277,0.0131602858,0.178604112
upper,285,0.00516415288,0.0127254808,0.179307389
upper,286,0.00461595395,0.0122734569,0.180017915
upper,287,0.0040729539,0.0118017576,0.180737185
upper,288,0.00353596887,0.0113072199,0.181467199
upper,289,0.00300607353,0.0107856533,0.182210718
upper,290,0.00248473516,0.0102313005,0.182971705
upper,291,0.00197405378,0.0096358704,0.183756136
upper,292,0.00147723365,0.00898663431,0.184573656
upper,293,0.00099963729,0.00826215801,0.185441391
upper,294,0.000551659078,0.00742063402,0.186394725
upper,295,0.000159969588,0.00635408888,0.18753092
upper,296,0.000102784893,0.00392519672,0.189960486
lower,0,0.000102784893,0.00392519672,0
lower,1,0.00126518857,0.00179270027,0.00242872877
lower,2,0.00209299286,0.00102074609,0.00356061798
lower,3,0.00286441385,0.00047200832,0.00450729822
lower,4,0.0036061221,3.85134954e-05,0.00536639595
lower,5,0.00432851201,-0.000321545868,0.00617354521
lower,6,0.00503694608,-0.000629603955,0.00694605968
lower,7,0.00573462858,-0.000898389568,0.00769372711
lower,8,0.00642365953,-0.00113619369,0.0084226403
lower,9,0.00710550621,-0.00134877357,0.00913685673
lower,10,0.00778124328,-0.00154031992,0.00983921745
lower,11,0.00845168689,-0.00171399553,0.0105317908
lower,12,0.00911747495,-0.00187225703,0.0112161302
lower,13,0.00977911788,-0.00201705761,0.0118934327
lower,14,0.0104370321,-0.00214998061,0.0125646403
lower,15,0.0110915629,-0.00227233069,0.0132305082
lower,16,0.0117430009,-0.00238519804,0.0138916515
lower,17,0.0123915931,-0.00248950472,0.0145485775
lower,18,0.0130375526,-0.00258603884,0.0152017103
lower,19,0.013681064,-0.00267548038,0.0158514077
lower,20,0.0143222892,-0.00275842084,0.0164979747
lower,21,0.014961371,-0.00283537865,0.0171416735
lower,22,0.0155984364,-0.00290681115,0.0177827311
lower,23,0.0162335988,-0.00297312428,0.0184213458
lower,24,0.01686696,-0.00303468033,0.0190576913
lower,25,0.0174986123,-0.00309180424,0.0196919213
lower,26,0.018128639,-0.00314478879,0.0203241721
lower,27,0.0187571165,-0.00319389892,0.0209545654
lower,28,0.0193841144,-0.00323937529,0.0215832104
lower,29,0.0200096967,-0.0032814373,0.0222102052
lower,30,0.0206339225,-0.00332028567,0.0228356386
lower,31,0.0212568462,-0.00335610455,0.0234595912
lower,32,0.0218785184,-0.00338906344,0.0240821366
lower,33,0.0224989862,-0.00341931874,0.0247033416
lower,34,0.0231182934,-0.00344701515,0.0253232678
lower,35,0.0237364811,-0.00347228689,0.0259419718
lower,36,0.0243535875,-0.0034952587,0.0265595056
lower,37,0.0249696487,-0.00351604678,0.0271759175
lower,38,0.0255846987,-0.00353475961,0.0277912521
lower,39,0.0261987694,-0.00355149863,0.0284055509
lower,40,0.026811891,-0.00356635889,0.0290188525
lower,41,0.027424092,-0.00357942959,0.0296311931
lower,42,0.0280353996,-0.00359079461,0.0302426062
lower,43,0.0286458393,-0.00360053291,0.0308531237
lower,44,0.0292554357,-0.00360871895,0.031462775
lower,45,0.029864212,-0.00361542307,0.0320715882
lower,46,0.0304721903,-0.00362071175,0.0326795896
lower,47,0.0310793919,-0.00362464797,0.0332868039
